id,source_name,source_url,company_size,company_industry,company_stage,role_title,role_segment,role_region,metric_name,metric_category,metric_description,value_type,value,value_unit_type,value_unit,notes,metadata,created_at
1,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Early-Stage (<$50M ARR),SaaS,Early-Stage,Sales Development Representative,SMB,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,77000,money,USD,Composed of 39% variable compensation and 61% base salary,"{""page"": ""28"", ""context"": ""Average OTE, variable, and fixed compensation for SDRs by rep segment and company stage""}",2025-06-13 02:01:07.013829+00
2,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Early-Stage (<$50M ARR),SaaS,Early-Stage,Sales Development Representative,Mid-Market,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,92000,money,USD,Composed of 39% variable compensation and 61% base salary,"{""page"": ""28"", ""context"": ""Average OTE, variable, and fixed compensation for SDRs by rep segment and company stage""}",2025-06-13 02:01:07.09654+00
3,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Early-Stage (<$50M ARR),SaaS,Early-Stage,Sales Development Representative,Enterprise,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,108000,money,USD,Composed of 37% variable compensation and 63% base salary,"{""page"": ""28"", ""context"": ""Average OTE, variable, and fixed compensation for SDRs by rep segment and company stage""}",2025-06-13 02:01:07.185425+00
4,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Later-Stage ($50M+ ARR),SaaS,Growth-Stage,Sales Development Representative,SMB,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,70000,money,USD,Composed of 31% variable compensation and 69% base salary. SDRs at later-stage companies have 5-6% higher OTEs than those at early-stage companies.,"{""page"": ""28"", ""context"": ""Average OTE, variable, and fixed compensation for SDRs by rep segment and company stage""}",2025-06-13 02:01:07.27061+00
5,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Later-Stage ($50M+ ARR),SaaS,Growth-Stage,Sales Development Representative,Mid-Market,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,97000,money,USD,Composed of 37% variable compensation and 63% base salary. SDRs at later-stage companies have 5-6% higher OTEs than those at early-stage companies.,"{""page"": ""28"", ""context"": ""Average OTE, variable, and fixed compensation for SDRs by rep segment and company stage""}",2025-06-13 02:01:07.354141+00
6,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Later-Stage ($50M+ ARR),SaaS,Growth-Stage,Sales Development Representative,Enterprise,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,111000,money,USD,Composed of 28% variable compensation and 72% base salary. SDRs at later-stage companies have 5-6% higher OTEs than those at early-stage companies.,"{""page"": ""28"", ""context"": ""Average OTE, variable, and fixed compensation for SDRs by rep segment and company stage""}",2025-06-13 02:01:07.439504+00
7,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Sales Development Representative,SMB,North America,Pipeline Goal to OTE Ratio,capacity,Ratio of expected pipeline generation to on-target earnings,range,5-8x,ratio,x,Pipeline goal ranges from $500K-$550K with OTE of $70K-$80K,"{""page"": ""30"", ""context"": ""Annual SDR pipeline goal vs. OTE and OTE ratio average by rep segment""}",2025-06-13 02:01:07.522851+00
8,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Sales Development Representative,Mid-Market,North America,Pipeline Goal to OTE Ratio,capacity,Ratio of expected pipeline generation to on-target earnings,range,10-15x,ratio,x,Pipeline goal ranges from $1.0M-$1.5M with OTE of $90K-$100K,"{""page"": ""30"", ""context"": ""Annual SDR pipeline goal vs. OTE and OTE ratio average by rep segment""}",2025-06-13 02:01:07.607728+00
9,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,All,SaaS,All,Sales Development Representative,Enterprise,North America,Pipeline Goal to OTE Ratio,capacity,Ratio of expected pipeline generation to on-target earnings,range,15-20x,ratio,x,Pipeline goal ranges from $2.0M-$2.5M with OTE of $100K-$115K,"{""page"": ""30"", ""context"": ""Annual SDR pipeline goal vs. OTE and OTE ratio average by rep segment""}",2025-06-13 02:01:07.689419+00
10,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Early-Stage (<$50M ARR),SaaS,Early-Stage,Account Executive,SMB,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,150000,money,USD,Composed of 50% variable compensation and 50% base salary,"{""page"": ""33"", ""context"": ""OTE, variable, and fixed compensation for account executives by rep segment and company stage""}",2025-06-13 02:01:07.781383+00
11,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Early-Stage (<$50M ARR),SaaS,Early-Stage,Account Executive,Mid-Market,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,186000,money,USD,Composed of 51% variable compensation and 49% base salary,"{""page"": ""33"", ""context"": ""OTE, variable, and fixed compensation for account executives by rep segment and company stage""}",2025-06-13 02:01:07.863999+00
12,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Early-Stage (<$50M ARR),SaaS,Early-Stage,Account Executive,Enterprise,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,285000,money,USD,Composed of 53% variable compensation and 47% base salary,"{""page"": ""33"", ""context"": ""OTE, variable, and fixed compensation for account executives by rep segment and company stage""}",2025-06-13 02:01:07.947708+00
13,iconiq,https://www.iconiqcapital.com/growth/insights/2023-definitive-guide-to-sales-compensation,Later-Stage ($50M+ ARR),SaaS,Growth-Stage,Account Executive,SMB,North America,On-Target Earnings (OTE),compensation,Total expected annual compensation including base salary and variable pay,mean,164000,money,USD,Composed of 38% variable compensation and 62% base salary. AEs tend to have slightly higher OTEs (+5%) at early-stage companies,"{""page"": ""33"", ""context"": ""OTE, variable, and fixed compensation for account executives by rep segment and company stage""}",2025-06-13 02:01:08.029564+00
